norm,metric,gene_set,n_genes,mean_sim_D,mean_sim_V,n_known,n_concordant,pct_all,n_up,n_up_conc,pct_up,n_dn,n_dn_conc,pct_dn,binom_p
CPM only,Cosine,Intersect 3000,563,0.998052807110034,0.9978584402741056,83,44,53.01204819277108,46,19,41.30434782608695,37,25,67.56756756756756,0.3304418238806077
CPM only,Cosine,Union 5000,8803,0.9959588268478129,0.9951466192392406,83,46,55.42168674698795,46,11,23.91304347826087,37,35,94.5945945945946,0.18999969820595902
CPM only,Cosine,Intersect 5000,1197,0.9972205921888405,0.996835000436753,83,46,55.42168674698795,46,17,36.95652173913044,37,29,78.37837837837837,0.18999969820595902
CPM only,Cosine,All Genes,35204,0.9951092748833442,0.9941197103435273,83,45,54.21686746987952,46,10,21.73913043478261,37,35,94.5945945945946,0.2552049708406172
Raw,Pearson,DMSO 500,500,0.998319971739312,0.99850581028562,83,53,63.855421686746986,46,31,67.3913043478261,37,22,59.45945945945946,0.007616100930997331
Raw,Pearson,Vorino 500,500,0.9978863941896567,0.9978866073462338,83,46,55.42168674698795,46,29,63.04347826086956,37,17,45.945945945945944,0.18999969820595902
Raw,Pearson,Union 500,941,0.9983641906591971,0.998481717570364,83,51,61.44578313253012,46,29,63.04347826086956,37,22,59.45945945945946,0.023762444628265912
Raw,Pearson,Intersect 500,59,0.9972264588036088,0.9978583296507695,83,45,54.21686746987952,46,35,76.08695652173913,37,10,27.027027027027028,0.2552049708406172
Raw,Pearson,DMSO 1000,1000,0.9981856873685004,0.9983767983646945,83,47,56.626506024096386,46,28,60.869565217391305,37,19,51.351351351351354,0.136134472986024
Raw,Pearson,Vorino 1000,1000,0.9986869327370123,0.998652524018344,83,51,61.44578313253012,46,25,54.34782608695652,37,26,70.27027027027027,0.023762444628265912
Raw,Pearson,Union 1000,1861,0.9981993594956947,0.9983692864939874,83,49,59.036144578313255,46,28,60.869565217391305,37,21,56.75675675675676,0.06192652973090074
Raw,Pearson,Intersect 1000,139,0.998459361425075,0.9984878234813737,83,53,63.855421686746986,46,28,60.869565217391305,37,25,67.56756756756756,0.007616100930997331
Raw,Pearson,DMSO 2000,2000,0.9980607139054108,0.9980166727045254,83,47,56.626506024096386,46,25,54.34782608695652,37,22,59.45945945945946,0.136134472986024
Raw,Pearson,Vorino 2000,2000,0.9982428477766128,0.9979435693723239,83,46,55.42168674698795,46,22,47.82608695652174,37,24,64.86486486486487,0.18999969820595902
Raw,Pearson,Union 2000,3669,0.9979277166944714,0.9979161670042676,83,51,61.44578313253012,46,29,63.04347826086956,37,22,59.45945945945946,0.023762444628265912
Raw,Pearson,Intersect 2000,331,0.9985243141090592,0.9981858069749493,83,46,55.42168674698795,46,20,43.47826086956522,37,26,70.27027027027027,0.18999969820595902
Raw,Pearson,Union 3000,5437,0.9976738003969288,0.9976747315533573,83,54,65.06024096385542,46,33,71.73913043478261,37,21,56.75675675675676,0.004018353188928501
